Id,MeterNumber,flow,Flow Rate,Total Flow,Meter Local Time,CreatedDate
8264,19240658,0.528,1.718,10287.65,10/18/22 2:38,10/18/22 6:38
34616,19240551,0,0,21209.842,10/18/22 2:39,10/18/22 6:39
9890,19240656,2.113,5.143,13885.145,10/18/22 2:39,10/18/22 6:39
34617,19240551,0,0.072,21209.842,10/18/22 2:40,10/18/22 6:40
34618,19240551,0,0,21209.842,10/18/22 2:40,10/18/22 6:40
17410,19240543,0.264,1.843,19169.377,10/18/22 2:41,10/18/22 6:41
17411,19240543,0.529,0,19169.906,10/18/22 2:42,10/18/22 6:42
12196,19240549,0.792,2.261,15596.715,10/18/22 2:44,10/18/22 6:44
34619,19240551,0.264,0,21210.105,10/18/22 2:45,10/18/22 6:45
12197,19240549,1.85,0,15598.564,10/18/22 2:45,10/18/22 6:45
34620,19240551,0,1.913,21210.105,10/18/22 2:52,10/18/22 6:52
34621,19240551,0,0,21210.105,10/18/22 2:53,10/18/22 6:53
12198,19240549,0,0.054,15598.564,10/18/22 2:53,10/18/22 6:53
13012,19240657,2.113,1.387,10614.959,10/18/22 2:53,10/18/22 6:53
12199,19240549,0,0,15598.564,10/18/22 2:53,10/18/22 6:53
19508,19240663,0,0.125,11908.609,10/18/22 2:57,10/18/22 6:57
19509,19240663,0.265,0.065,11908.874,10/18/22 2:57,10/18/22 6:57
19510,19240663,0,0.068,11908.874,10/18/22 2:58,10/18/22 6:58
19511,19240663,0,0.077,11908.874,10/18/22 2:58,10/18/22 6:58
19512,19240663,0,0.133,11908.874,10/18/22 2:58,10/18/22 6:58
19513,19240663,0,0.496,11908.874,10/18/22 2:58,10/18/22 6:58
19514,19240663,0,0.428,11908.874,10/18/22 2:59,10/18/22 6:59
19515,19240663,0.264,0.427,11909.138,10/18/22 2:59,10/18/22 6:59
19516,19240663,0,0.435,11909.138,10/18/22 2:59,10/18/22 6:59
9891,19240656,1.585,0,13886.729,10/18/22 2:59,10/18/22 6:59
19517,19240663,0.265,0.554,11909.402,10/18/22 3:00,10/18/22 7:00
19518,19240663,0,0.668,11909.402,10/18/22 3:00,10/18/22 7:00
